0,51,102,2.35619449019234
1,52,104,2.54818070791172
2,51,105,2.89724655831059
3,48,98,5.68977336150151
4,53,98,0.785398163397448
5,51,99,0.471238898038469
6,51,97,0.244346095279206
7,47,99,5.30580092606276
8,47,98,5.49778714378214
9,51,98,0.314159265358979
10,51,103,2.67035375555132
11,52,105,2.67035375555132
12,54,102,1.8151424220741
13,46,102,4.46804288510548
14,53,102,1.88495559215388
15,46,100,4.9567350756639
16,52,97,0.471238898038469
17,52,98,0.593411945678072
18,49,100,5.49778714378214
19,49,104,3.45575191894877
20,49,103,3.61283155162826
21,48,97,5.81194640914112
22,52,103,2.35619449019234
23,53,104,2.35619449019234
24,47,100,5.02654824574367
25,47,104,3.92699081698724
26,51,104,2.82743338823081
27,48,104,3.73500459926786
28,52,99,0.785398163397448
29,51,100,0.785398163397448
