Complexity,Loss,Equation
1,789.731,"42.4554"
3,384.5731,"(3.3126855 * x0)"
5,358.8751,"((2.745255 * x0) + 9.513323)"
7,282.74432,"((2.4362442 - (-0.07931242 * x1)) * x0)"
9,259.90805,"((2.2090523 - (-0.15194759 * x1)) * (x0 + -2.181528))"
10,160.33961,"(exp(0.011790409 * (x0 * x1)) + (2.4090042 * x0))"
11,97.1334,"(exp(square((0.006090722 * x1) * x0)) + (2.6019893 * x0))"
12,87.171295,"(cube(cube((cube(0.16799) * x1) * x0)) + (2.7709568 * x0))"
13,81.1543,"(exp(square(((x0 + -0.37795267) * x1) * 0.006299737)) + (2.5609775 * x0))"
14,73.30187,"(square(cube((cube(0.18741582) * x0) * x1) - 2.6338894) + (2.6338894 * x0))"
16,57.428314,"((2.5235128 * x0) + square(cube(cube(0.18533206) * ((x1 - -1.0240669) * x0)) - 2.7709568))"
18,54.682396,"(square(cube(cube(0.18506168) * ((x1 + 1.1420028) * x0)) - 2.8258808) + ((2.3950374 * x0) + 2.5609775))"
20,54.59158,"(square((cube(cube(0.18546379) * ((x1 - -1.146385) * x0)) - 2.6676276) + -0.35237882) + (2.3950374 * (x0 + 0.77584386)))"
