,SEED,TOTAL_STEPS,CL0,CR0,CL1,CR1,RADIAL_VARIANCE,RADIUS
0,1,4001,-1.0,-1.0,-1.0,-1.0,0.13543295953528037,301.84884460220906
1,1,4001,-1.0,-1.0,-1.0,-0.8,0.2702114921260426,257.53547229083705
2,1,4001,-1.0,-1.0,-1.0,-0.6,0.9247081566271905,238.22833100619545
3,1,4001,-1.0,-1.0,-1.0,-0.4,0.5761785619354948,253.0353708144069
4,1,4001,-1.0,-1.0,-1.0,-0.2,0.2302251166048187,257.73125457315246
5,1,4001,-1.0,-1.0,-1.0,0.0,0.7155400299324275,241.03220235445414
6,1,4001,-1.0,-1.0,-1.0,0.2,1.0312846482603588,240.73568060950703
7,1,4001,-1.0,-1.0,-1.0,0.4,0.2600486370035893,252.70677830338303
8,1,4001,-1.0,-1.0,-1.0,0.6,0.7969067370585065,245.75358062289516
9,1,4001,-1.0,-1.0,-1.0,0.8,0.2717308902168288,258.59625813668856
